,95.20 Métodos y Modelos en Ingeniería de Software I,,,,,,,,,,,,,,,,
,TA046 Ingeniería de Software,,,,,,,,,,,,,,,,
,7509 Análisis de la Información,,,,,,,,,,,,,,,,
,Cronograma de entregas tentativas del Trabajo Práctico Grupal,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Semana,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,10/03/25,17/03/25,24/03/25,31/03/25,7/04/25,14/04/25,21/04/25,28/04/25,5/05/25,12/05/25,19/05/25,26/05/25,2/06/25,9/06/25,16/06/25,23/06/25
,,Preparación,,,,Inicio,,,,,Construcción,,,,,,Transición
,,,,,,Iteración #1,,,Iteración #2,,Iteración #3,,Iteración #4,,Iteración #5,,
,Entregables SQUAD,,,,,,,,,,,,,,,,
,Visión del Módulo (MVP),,,,,X,,,A,,,,,,,,
,,,,,,,,,,,,,,,,,
,Requisitos,,,,,,,,,,,,,,,,
,R1.Análisis de Interesados,,,,,,,,,,,,,,,,
,  R1.1 Organigrama,,,,,X,,,A,,,,,,,,
,  R1.2 Onion Model,,,,,X,,,A,,,,,,,,
,R2.Minutas de reunión,,,,,X,,,X,,X,,A,,A,,
,R3.Historias de Usuario,,,,,,,,,,,,,,,,
,  R3.1 User Story Map,,,,,,,,X,,A,,A,,A,,
,  R3.2 Backlog Historias de usuario (GitHub Project),,,,,,,,X,,A,,A,,A,,
,  R3.3 Matriz de Trazabilidad (HDU vs. minutas),,,,,,,,X,,A,,A,,A,,
,R4.Especificación de requisitos ejecutable,,,,,,,,,,,,,,,,
,  R4.1 Escenarios Gherkin por cada HDU (GitHub),,,,,,,,,,X,,A,,A,,
,R5.Modelo de Análisis,,,,,,,,,,,,,,,,
,  R5.1 Diagrama de Contexto (C4 nivel uno),,,,,,,,X,,A,,A,,A,,
,  R5.2 Modelo de Dominio + Diccionario de datos,,,,,,,,X,,A,,A,,A,,
,  R5.3 Prototipos de la interfaz del usuario (HDU significativas),,,,,,,,,,X,,A,,A,,
,,,,,,,,,,,,,,,,,
,Diseño,,,,,,,,,,,,,,,,
,D1.Modelo de Diseño,,,,,,,,,,,,,,,,
,  D1.1 Diagrama de Contenedores,,,,,,,,,,X,,A,,A,,
,  D1.2 Diagrama de Componentes,,,,,,,,,,,,X,,A,,
,  D1.3 Diagrama de Código (de ser necesario),,,,,,,,,,,,X,,A,,
,  D1.4 Modelo de base de datos,,,,,,,,,,X,,A,,A,,
,,,,,,,,,,,,,,,,,
,Infraestructura,,,,,,,,,,,,,,,,
,"Repositorio GitHub (master, documentación + código)",X,,,,,,,,,,,A,,A,,
,,,,,,,,,,,,,,,,,
,Aplicación,,,,,,,,,,,,,,,,
,Features Nivel 1,,,,,,,,,,,,x,,A,,
,Features Nivel 2,,,,,,,,,,,,x,,A,,
,Features Nivel 3,,,,,,,,,,,,,,x,,
,API del Módulo,,,,,,,,,,,,,,x,,
,Demo (Tribu),,,,,,,,,,,,,,x,,A
